source	target
Abdominal Muscles	Abdominal Wall
Abducens Nerve	Abducens Nucleus
Abnormalities, Drug-Induced	Teratogenesis
Abnormalities, Drug-Induced	Teratogens
Abnormalities, Multiple	Intellectual Disability
Abnormalities, Radiation-Induced	Teratogenesis
Abortifacient Agents	Oxytocics
Abortion, Spontaneous	Aborted Fetus
Abortion, Spontaneous	Abortifacient Agents
Abortion, Habitual	Embryo Loss
Abortion, Habitual	Fetal Death
Abortion, Induced	Aborted Fetus
Abscess	Empyema
Absorption	Intestinal Absorption
Absorption	Skin Absorption
Academic Medical Centers	Tertiary Care Centers
Accident Prevention	Protective Devices
Accidents, Occupational	Occupational Diseases
Accidents, Occupational	Occupational Injuries
Accidents, Traffic	Air Bags
Accidents, Traffic	Seat Belts
Oil and Gas Industry	Fossil Fuels
Oil and Gas Industry	Natural Gas
Oil and Gas Industry	Petroleum
Coal Industry	Fossil Fuels
Work Performance	Workplace
Criminal Behavior	Crime
Criminal Behavior	Criminal Psychology
Criminal Behavior	Criminals
Clinical Decision-Making	Decision Support Systems, Clinical
Clinical Decision-Making	Decision Support Techniques
Cognitive Aging	Cognition Disorders
Emotional Adjustment	Adjustment Disorders
Emotional Adjustment	Social Adjustment
Grandparents	Family
Heuristics	Artificial Intelligence
Heuristics	Computer Heuristics
Intimate Partner Violence	Sex Offenses
Problem Behavior	Attention Deficit and Disruptive Behavior Disorders
Underage Drinking	Alcohol Drinking in College
Cell Plasticity	Neuronal Plasticity
Cell Self Renewal	Stem Cells
Rehabilitation Research	Disabled Persons
Biobehavioral Sciences	Interdisciplinary Studies
Vegetarians	Diet, Vegetarian
Vegans	Diet, Vegan
Literacy	Handwriting
Literacy	Health Literacy
Literacy	Reading
Literacy	Writing
Banking, Personal	Medical Savings Accounts
Physical Appearance, Body	Body Image
Psychological Trauma	Stress Disorders, Post-Traumatic
Direct-To-Consumer Screening and Testing	Diagnostic Self Evaluation
Telocytes	Interstitial Cells of Cajal
Exoskeleton Device	Robotics
Shellfish Hypersensitivity	Shellfish Poisoning
Isolated Heart Preparation	Myocardial Reperfusion Injury
Diet, Vegan	Vegans
Alcohol Drinking in College	Underage Drinking
War-Related Injuries	Stress Disorders, Post-Traumatic
Blood Alcohol Content	Alcoholism
Blood Alcohol Content	Driving Under the Influence
Defamation	Jurisprudence
Psychology, Sports	Sports Medicine
War Exposure	Veterans Health
No-Show Patients	Patient Dropouts
Cellular Reprogramming Techniques	Cellular Reprogramming
Metacognition	Self-Assessment
RNAi Therapeutics	Gene Expression Regulation
Spirit Possession	Parapsychology
Spirit Possession	Superstitions
Computer Heuristics	Heuristics
Ataxins	Spinocerebellar Ataxias
Dermal Fillers	Administration, Cutaneous
Dermal Fillers	Cosmetic Techniques
Dermal Fillers	Injections, Subcutaneous
Mutation Accumulation	Aging
Mutation Accumulation	Mutagenesis
Biological Mimicry	Biomimetics
Potentially Inappropriate Medication List	Deprescriptions
Potentially Inappropriate Medication List	Inappropriate Prescribing
Culturally Appropriate Technology	Diffusion of Innovation
Social Learning	Socialization
Financial Statements	Financial Management
Chronopharmacokinetics	Drug Chronotherapy
Child Health	Child Health Services
Child Health	Child Welfare
Ataxin-1	Spinocerebellar Ataxias
Adolescent Health	Adolescent Health Services
Adolescent Health	Adolescent Medicine
Ataxin-2	Spinocerebellar Ataxias
Ataxin-3	Spinocerebellar Ataxias
Ataxin-7	Spinocerebellar Ataxias
RNA Recognition Motif Proteins	RNA Recognition Motif
Cloud Computing	Technology
Natural Resources	Conservation of Natural Resources
Accreditation	Certification
Accreditation	Licensure
Maternal Health	Maternal Health Services
Maternal Health	Maternal Welfare
Infant Health	Infant Welfare
Child Protective Services	Social Work
Data Anonymization	Personally Identifiable Information
Personally Identifiable Information	Data Anonymization
Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	Antiretroviral Therapy, Highly Active
Self-Control	Temperance
Saline Waters	Hypertonic Solutions
Compassion Fatigue	Burnout, Professional
Compassion Fatigue	Stress Disorders, Post-Traumatic
Surgical Clearance	Physical Examination
Varenicline	Tobacco Use Cessation Products
Tadalafil	Sildenafil Citrate
Censorship, Research	Dual Use Research
Censorship, Research	Ethics
Dual Use Research	Censorship, Research
Professionalism	Ethics, Medical
Professionalism	Professional Competence
Genetic Background	Heredity
Selective Breeding	Eugenics
Selective Breeding	Reproductive Techniques
Mometasone Furoate	Formoterol Fumarate
Sildenafil Citrate	Tadalafil
Rosuvastatin Calcium	Simvastatin
Valsartan	Losartan
Formoterol Fumarate	Albuterol
Formoterol Fumarate	Mometasone Furoate
Orexins	Orexin Receptors
Sitagliptin Phosphate	Linagliptin
Games, Recreational	Video Games
Smartphone	Computers, Handheld
Humidifiers	Respiration, Artificial
Memory Consolidation	Learning
Seroconversion	Immune System Phenomena
Radiation Exposure	Environmental Pollutants
Thoracentesis	Pleural Effusion
Thoracentesis	Pneumothorax
Superficial Musculoaponeurotic System	Rhytidoplasty
Podosomes	Mechanotransduction, Cellular
Arterial Switch Operation	Transposition of Great Vessels
Canaliculitis	Corneal Ulcer
Protein Translocation Systems	Membrane Transport Proteins
Parasite Encystment	Trophozoites
Pyroptosis	Necrosis
Neurovascular Coupling	Hemodynamics
Deprescriptions	Inappropriate Prescribing
Deprescriptions	Potentially Inappropriate Medication List
Medical Overuse	Diagnostic Errors
Medical Overuse	Drug Overdose
Medical Overuse	Inappropriate Prescribing
Medical Overuse	Polypharmacy
Bone-Implant Interface	Osseointegration
Tympanocentesis	Middle Ear Ventilation
Tympanocentesis	Otitis Media
Natalizumab	Integrin alpha4
Ultrasonic Waves	Ultrasonics
Population Forecast	Population Growth
Medical-Surgical Nursing	Operating Room Nursing
Dose Hypofractionation	Radiation
Linagliptin	Sitagliptin Phosphate
International Law	Internationality
Adult Day Care Centers	Senior Centers
Environmental Psychology	Ecology
Environmental Psychology	Environmental Medicine
Supervised Machine Learning	Unsupervised Machine Learning
Unsupervised Machine Learning	Supervised Machine Learning
Working Poor	Poverty
Working Poor	Poverty Areas
Staghorn Calculi	Struvite
Struvite	Staghorn Calculi
Mastic Resin	Gum Arabic
Pediococcus pentosaceus	Probiotics
Sleep Hygiene	Sleep Wake Disorders
Heart Rate Determination	Heart Rate
Heart Rate Determination	Pulse
Anti-Vaccination Movement	Vaccination Refusal
Antagomirs	RNA Interference
Healthy Lifestyle	Health Behavior
Independent Medical Evaluation	Physical Examination
Immunoglobulin Domains	Immunoglobulin Constant Regions
Immunoglobulin Domains	Immunoglobulin Variable Region
Gizzard, Non-avian	Gizzard, Avian
Methyl CpG Binding Domain	DNA Methylation
Diet, Carbohydrate Loading	Dietary Carbohydrates
Coxa Magna	Slipped Capital Femoral Epiphyses
Microtrauma, Physical	Cumulative Trauma Disorders
Brain Contusion	Brain Hemorrhage, Traumatic
Chronic Traumatic Encephalopathy	Brain Concussion
Closed Fracture Reduction	Fractures, Closed
Diastasis, Muscle	Diastasis, Bone
Non-Neuronal Cholinergic System	Cholinergic Neurons
Rotator Cuff Injuries	Rotator Cuff Tear Arthropathy
Rotator Cuff Tear Arthropathy	Rotator Cuff Injuries
Open Fracture Reduction	Fractures, Open
Nuclear Pharmacy	Nuclear Medicine
High Fidelity Simulation Training	Nursing Education Research
Sentinel Lymph Node	Lymphatic Metastasis
Sentinel Lymph Node	Sentinel Lymph Node Biopsy
Traditional Pulse Diagnosis	Medicine, Traditional
Traditional Pulse Diagnosis	Pulse
Sutureless Surgical Procedures	Tissue Adhesives
Pharmacogenomic Variants	Pharmacogenetics
Pharmacogenomic Variants	Precision Medicine
Pyrin Domain	Pyrin
Pyrin	Pyrin Domain
Body Remains	Forensic Anthropology
RNA Recognition Motif	RNA Recognition Motif Proteins
ETS Motif	Proto-Oncogene Protein c-ets-1
Life History Traits	Life Cycle Stages
Life History Traits	Population Dynamics
Thermotolerance	Heat-Shock Response
Axon Guidance	Axon Fasciculation
Axon Guidance	Growth Cones
Phototaxis	Phototropism
Death Effector Domain	Death Domain Receptor Signaling Adaptor Proteins
Caspase Activation and Recruitment Domain	CARD Signaling Adaptor Proteins
Gubernaculum	Cryptorchidism
Crush Injuries	Compartment Syndromes
Cellulite	Cellulitis
Virophages	Plasmids
Virophages	Satellite Viruses
Extremophiles	Extreme Environments
AC133 Antigen	Antigen-Antibody Reactions
Nipple Discharge	Nipple Aspirate Fluid
Fasciotomy	Fascia
Breast Carcinoma In Situ	Carcinoma, Lobular
NF-KappaB Inhibitor alpha	Ankyrin Repeat
Synthetic Lethal Mutations	Genes, Lethal
Cardiac Rehabilitation	Recovery of Function
Vaping	Electronic Cigarettes
Vaping	Smoking
Shoulder Prosthesis	Arthroplasty, Replacement, Shoulder
Arthroplasty, Replacement, Shoulder	Shoulder Prosthesis
In Vivo Dosimetry	Body Burden
Radiation Dosimeters	In Vivo Dosimetry
Radiation Dosimeters	Radiation Monitoring
Methyl-Accepting Chemotaxis Proteins	Chemotaxis
Oxygen Radical Absorbance Capacity	Antioxidants
Oxygen Radical Absorbance Capacity	Free Radical Scavengers
Oxygen Radical Absorbance Capacity	Reactive Oxygen Species
RNA Splicing Factors	Spliceosomes
RNA Splicing Factors	snRNP Core Proteins
Sports and Recreational Facilities	Health Resorts
Bathroom Equipment	Toilet Facilities
Trichodesmium	Nitrogen Fixation
Syk Kinase	src Homology Domains
Heterocyclic Compounds, Fused-Ring	Fused-Ring Compounds
Heterocyclic Compounds, Fused-Ring	Heterocyclic Compounds, Bridged-Ring
Fused-Ring Compounds	Heterocyclic Compounds, Fused-Ring
Fused-Ring Compounds	Polycyclic Aromatic Hydrocarbons
Hepatitis A Virus Cellular Receptor 1	Immunoglobulin Domains
Hepatitis A Virus Cellular Receptor 2	Immunoglobulin Domains
Breast Cancer Lymphedema	Breast Neoplasms
Ciliopathies	Ciliary Motility Disorders
Margins of Excision	Biopsy
National Center for Advancing Translational Sciences (U.S.)	Translational Medical Research
Gene Editing	CRISPR-Cas Systems
